url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/1/article/102521,shopee-seller-quan-ly-don-tra-hang-hoan-tien,Quản lý đơn trả hàng hoàn tiền (Kênh Quản Lý Shop),seller,returns-logistics,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77262,shopee-dieu-khoan-shopee-mall,Điều Khoản Dịch Vụ của Shopee Mall,both,mall-terms,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/189477,shopee-phuong-thuc-gui-hang-hoan-tra,Các phương thức gửi hàng hoàn trả và phí hoàn trả,buyer,returns-logistics,vi,not-stated,public-source
